Beds,Baths,sqft,Year built,price/sqft,outcome (Price)
3,2,1290,1910,167,215430
3,2,1510,1925,115,173650
3,2,1560,1927,133,207480
3,2,1575,1950,102,160650
3,2,1580,1956,101,159580
3,2,1659,1945,96,159264
3,2,1679,1956,101,169579
3,3,1746,1948,129,225234
3,3,1746,1948,129,225234
3,2,1792,1955,110,197120
3,2,1798,1950,93,167214
3,2,1801,1930,87,156687
3,2,1862,1950,108,201096
3,2,1862,1950,108,201096
3,3,1942,1942,99,192258
4,2,2016,1924,114,229824
3,2,2019,1947,104,209976
3,2,2048,1932,90,184320
3,3,2070,1952,121,250470
3,2,2076,1930,108,224208
3,2,2084,1952,82,170888
3,2,2092,1955,81,169452
3,2,2136,1957,87,185832
3,2,2289,1950,80,183120
3,3,2300,1928,117,269100
3,3,2341,1910,103,241123
3,3,2401,1949,99,237699
3,3,2406,1959,83,199698
4,2,2417,1920,93,224781
4,2,2448,1926,98,239904
3,3,2455,1937,110,270050
3,2,2464,1953,87,214368
3,2,2488,1964,103,256264
4,2,2489,1930,112,278768
4,2,2496,1920,93,232128
4,2,2499,1941,96,239904
3,3,2628,1967,108,283824
3,2,2656,1955,69,183264
3,4,2668,1935,97,258796
3,2,2697,1960,98,264306
3,3,2724,1964,95,258780
3,3,2728,1948,68,185504
3,3,2748,1942,99,272052
3,2,2765,1955,78,215670
3,3,2842,1962,70,198940
3,2,2922,1920,87,254214
3,3,3026,1937,74,223924
3,3,3169,1957,82,259858
3,2,3557,1936,77,273889